address,price,details,url
273 Richmond Avenue,"$1,399–$1,449","1 Bedroom Apartment · Bryant, Buffalo",https://www.padmapper.com/buildings/p1075922/apartments-at-273-richmond-ave-buffalo-ny-14222
128 Pearl Street,"$1,475–$2,325","1–2 Bedrooms Apartments · Central Business District, Buffalo",https://www.padmapper.com/buildings/p1385653/apartments-at-128-pearl-st-buffalo-ny-14202
210 Ellicott St #304,"$2,250","2 Bedrooms · 2 Bathrooms Apartment · Central Business District, Buffalo",https://www.padmapper.com/rentals/12910508p/2-bedroom-2-bath-apartment-at-210-ellicott-st-buffalo-ny-14203
Griffin House Apartments,"$1,175–$1,630","1–2 Bedrooms Apartments · Parkside, Buffalo",https://www.padmapper.com/buildings/p1126417/griffin-house-apartments-at-215-humboldt-pkwy-buffalo-ny-14208
Colvin View Apartments,"$1,225","2 Bedrooms Apartment · North Park, Buffalo",https://www.padmapper.com/buildings/p1168892/colvin-view-apartments-at-575-colvin-ave-buffalo-ny-14216
312 Summer Street #1,"$6,000","5 Bedrooms · 3 Bathrooms Apartment · Bryant, Buffalo",https://www.padmapper.com/rentals/16518894p/5-bedroom-3-bath-apartment-at-312-summer-street-buffalo-ny-14222
116 Bidwell Parkway,"$1,250","1 Bedroom · 1 Bathroom Apartment · Forest, Buffalo",https://www.padmapper.com/rentals/62567404/1-bedroom-1-bath-apartment-at-116-bidwell-parkway-buffalo-ny-14222
499 Franklin Street ##4,"$2,375","1 Bedroom · 1 Bathroom Apartment · Allen, Buffalo",https://www.padmapper.com/rentals/26182814p/1-bedroom-1-bath-apartment-at-499-franklin-street-buffalo-ny-14202
499 Franklin Street #1,"$2,815","1 Bedroom · 1 Bathroom Apartment · Allen, Buffalo",https://www.padmapper.com/rentals/26142633p/1-bedroom-1-bath-apartment-at-499-franklin-street-buffalo-ny-14202
567 Delaware Avenue ##3,"$1,330","1 Bedroom · 1 Bathroom Apartment · Allen, Buffalo",https://www.padmapper.com/rentals/26143161p/1-bedroom-1-bath-apartment-at-567-delaware-avenue-buffalo-ny-14202
298 Main St #2X2,"$2,300","2 Bedrooms · 2 Bathrooms Apartment · Central Business District, Buffalo",https://www.padmapper.com/rentals/26385007p/2-bedroom-2-bath-apartment-at-298-main-st-buffalo-ny-14202
333 Lafayette Ave,"$1,600","2 Bedrooms · 1 Bathroom Apartment · Grant Ferry, Buffalo",https://www.padmapper.com/rentals/26629143p/2-bedroom-1-bath-apartment-at-333-lafayette-ave-buffalo-ny-14213
Amherst Woods Apartments,"$1,025–$1,550","Studio–2 Bedrooms Apartments · Park Meadow, Buffalo",https://www.padmapper.com/buildings/p328811/amherst-woods-apartments-at-1392-amherst-st-buffalo-ny-14216
638 Hertel Ave,"$1,195","1 Bedroom · 1 Bathroom Apartment · Military, Buffalo",https://www.padmapper.com/rentals/26580707p/1-bedroom-1-bath-apartment-at-638-hertel-ave-buffalo-ny-14207
Bryant Apartments,"$1,485–$1,795","Studio–2 Bedrooms Apartments · Bryant, Buffalo",https://www.padmapper.com/buildings/p38054/bryant-apartments-at-916-delaware-ave-buffalo-ny-14209
Wood and Brooks Lofts,"$1,595–$2,200","1–2 Bedrooms Apartments · Riverside Park, Buffalo",https://www.padmapper.com/buildings/p1238897/wood-and-brooks-lofts-apartments-at-2075-kenmore-ave-buffalo-ny-14207
144 Cottage St #REAR,"$1,300","2 Bedrooms · 1 Bathroom Apartment · Lakeview, Buffalo",https://www.padmapper.com/rentals/26129772p/2-bedroom-1-bath-apartment-at-144-cottage-st-buffalo-ny-14201
281 Crestwood Ave,"$1,395","2 Bedrooms · 1 Bathroom Apartment · North Park, Buffalo",https://www.padmapper.com/rentals/26628546p/2-bedroom-1-bath-apartment-at-281-crestwood-ave-buffalo-ny-14216
4256 North St #2,"$1,200","1 Bedroom · 1 Bathroom Apartment · Buffalo, NY",https://www.padmapper.com/rentals/26628544p/1-bedroom-1-bath-apartment-at-4256-north-st-buffalo-ny-14219
1115 Delaware Ave #3rdFL,"$2,600","3 Bedrooms · 2 Bathrooms Apartment · Delaware - West Ferry, Buffalo",https://www.padmapper.com/rentals/26399903p/3-bedroom-2-bath-apartment-at-1115-delaware-ave-buffalo-ny-14209
The Fenton Apartments,"$1,564–$2,711","1–2 Bedrooms Apartments · Delaware - West Ferry, Buffalo",https://www.padmapper.com/buildings/p1121334/the-fenton-apartments-at-945-w-ferry-st-buffalo-ny-14209
2099 Niagara St #2,"$1,197","2 Bedrooms · 1 Bathroom Apartment · Black Rock, Buffalo",https://www.padmapper.com/rentals/26295586p/2-bedroom-1-bath-apartment-at-2099-niagara-st-buffalo-ny-14207
269 Whitney Pl #UPPER,"$1,095","2 Bedrooms · 1 Bathroom Apartment · Lakeview, Buffalo",https://www.padmapper.com/rentals/26238557p/2-bedroom-1-bath-apartment-at-269-whitney-pl-buffalo-ny-14201
1250 Center Road,$995,"2 Bedrooms Apartment · Buffalo, NY",https://www.padmapper.com/buildings/p1242897/apartments-at-1250-center-rd-buffalo-ny-14224
140 NORTH STREET,"$1,000–$1,200","1 Bedroom Apartment · Allen, Buffalo",https://www.padmapper.com/buildings/p876553/apartments-at-140-north-st-buffalo-ny-14201
139 Bryant,"$1,695","1 Bedroom Apartment · Bryant, Buffalo",https://www.padmapper.com/buildings/p327162/apartments-at-139-bryant-st-buffalo-ny-14222
Ellicott Lofts Apartments,"$687–$1,375","2 Bedrooms Apartment · Central Business District, Buffalo",https://www.padmapper.com/buildings/p377098/ellicott-lofts-apartments-at-489-ellicott-st-buffalo-ny-14203
Brand New Affordable Apartments,"$894–$1,551","Studio–2 Bedrooms Apartments · Broadway - Fillmore, Buffalo",https://www.padmapper.com/buildings/p1115060/brand-new-affordable-apartments-at-950-broadway-st-buffalo-ny-14212
23 Allen St #304,$995,"Studio · 1 Bathroom Apartment · Allen, Buffalo",https://www.padmapper.com/rentals/16718027p/studio-1-bath-apartment-at-23-allen-st-buffalo-ny-14202
Crescendo Loft Apartments,"$1,460–$2,249","1–2 Bedrooms Apartments · Forest, Buffalo",https://www.padmapper.com/buildings/p216457/crescendo-loft-apartments-at-1502-niagara-st-buffalo-ny-14213
507 Niagara Apartments,"$1,349–$1,899","1–2 Bedrooms Apartments · Lakeview, Buffalo",https://www.padmapper.com/buildings/p842504/507-niagara-apartments-at-507-niagara-st-buffalo-ny-14201
Mayflower Apartments,"$1,385","1 Bedroom Apartment · Bryant, Buffalo",https://www.padmapper.com/buildings/p322505/mayflower-apartments-at-66-summer-st-buffalo-ny-14209
Crescent Garden Apartments,"$1,085","1 Bedroom Apartment · Parkside, Buffalo",https://www.padmapper.com/buildings/p335042/crescent-garden-apartments-at-338-crescent-ave-buffalo-ny-14214
58 Montrose Ave,"$2,500","3 Bedrooms · 1 Bathroom Apartment · University, Buffalo",https://www.padmapper.com/rentals/26541111p/3-bedroom-1-bath-apartment-at-58-montrose-ave-buffalo-ny-14214
89 Johnson Park #4,"$1,050","1 Bedroom · 1 Bathroom Apartment · Columbus, Buffalo",https://www.padmapper.com/rentals/25046476p/1-bedroom-1-bath-apartment-at-89-johnson-park-buffalo-ny-14201
24 Tracy St #A,"$1,600","2 Bedrooms · 2 Bathrooms Apartment · Central Business District, Buffalo",https://www.padmapper.com/rentals/23818026p/2-bedroom-2-bath-apartment-at-24-tracy-st-buffalo-ny-14201
75 Johnson Park #2,"$1,600","2 Bedrooms · 2 Bathrooms Apartment · Columbus, Buffalo",https://www.padmapper.com/rentals/23244194p/2-bedroom-2-bath-apartment-at-75-johnson-park-buffalo-ny-14201
The Residences at Linwood Manor,"$1,150–$1,175","Studio–1 Bedroom Apartments · Delaware - West Ferry, Buffalo",https://www.padmapper.com/buildings/p1126416/the-residences-at-linwood-manor-apartments-at-330-linwood-ave-buffalo-ny-14209
Brand New Luxury Apartment Complex in proximity to Buffalo General!,"$1,275–$1,999","Studio–2 Bedrooms Apartments · Masten Park, Buffalo",https://www.padmapper.com/buildings/p803364/brand-new-luxury-apartment-complex-in-proximity-to-buffalo-general-at-1145-michigan-ave-buffalo-ny-14209
EB Green Residence,"$1,750–$2,650","1–2 Bedrooms Apartments · Allen, Buffalo",https://www.padmapper.com/buildings/p321621/eb-green-residence-apartments-at-230-north-st-buffalo-ny-14201
37 Holland Pl,"$1,500","2 Bedrooms · 1 Bathroom Apartment · Masten Park, Buffalo",https://www.padmapper.com/rentals/26621698p/2-bedroom-1-bath-apartment-at-37-holland-pl-buffalo-ny-14209
46 Blum Ave,"$1,500","3 Bedrooms · 1 Bathroom Apartment · Military, Buffalo",https://www.padmapper.com/rentals/26408949p/3-bedroom-1-bath-apartment-at-46-blum-ave-buffalo-ny-14216
244 Virginia St,"$1,600","3 Bedrooms · 1 Bathroom Apartment · Lakeview, Buffalo",https://www.padmapper.com/rentals/26460093p/3-bedroom-1-bath-apartment-at-244-virginia-st-buffalo-ny-14201
580 Starin,"$1,350","2 Bedrooms Apartment · North Park, Buffalo",https://www.padmapper.com/buildings/p442065/apartments-at-580-starin-ave-buffalo-ny-14216
17 Sunshine Dr,"$1,675","3 Bedrooms · 1 Bathroom Apartment · Buffalo, NY",https://www.padmapper.com/rentals/26602650p/3-bedroom-1-bath-apartment-at-17-sunshine-dr-buffalo-ny-14228
325 BOX AVE (UPPER) Avenue,"$1,000","2 Bedrooms · 1 Bathroom Apartment · MLK Park, Buffalo",https://www.padmapper.com/rentals/62326512/2-bedroom-1-bath-apartment-at-325-box-ave-upper-avenue-buffalo-ny-14211
93 Baynes St #2,"$2,000","2 Bedrooms · 1 Bathroom Apartment · Grant Ferry, Buffalo",https://www.padmapper.com/rentals/24947228p/2-bedroom-1-bath-apartment-at-93-baynes-st-buffalo-ny-14213
68 Prospect Ave #3,"$1,195","1 Bedroom · 1 Bathroom Apartment · Columbus, Buffalo",https://www.padmapper.com/rentals/23791232p/1-bedroom-1-bath-apartment-at-68-prospect-ave-buffalo-ny-14201
Amherst Gardens,"$1,295–$1,439","2 Bedrooms Apartments · Starin Central, Buffalo",https://www.padmapper.com/buildings/p280646/amherst-gardens-apartments-at-86-e-amherst-st-buffalo-ny-14214
414 Woodward Ave,"$1,850","3 Bedrooms · 1 Bathroom Apartment · Parkside, Buffalo",https://www.padmapper.com/rentals/26609353p/3-bedroom-1-bath-apartment-at-414-woodward-ave-buffalo-ny-14214
328 15th St #1,"$1,300","3 Bedrooms · 1 Bathroom Apartment · Front Park, Buffalo",https://www.padmapper.com/rentals/26609311p/3-bedroom-1-bath-apartment-at-328-15th-st-buffalo-ny-14213
24 Briggs Ave,"$1,325","2 Bedrooms · 1 Bathroom Apartment · Riverside Park, Buffalo",https://www.padmapper.com/rentals/26595576p/2-bedroom-1-bath-apartment-at-24-briggs-ave-buffalo-ny-14207
63 Oakland Pl #3,"$3,725","3 Bedrooms · 2 Bathrooms Apartment · Bryant, Buffalo",https://www.padmapper.com/rentals/26621372p/3-bedroom-2-bath-apartment-at-63-oakland-pl-buffalo-ny-14222
4256 North St #1,"$1,400","2 Bedrooms · 1 Bathroom Apartment · Buffalo, NY",https://www.padmapper.com/rentals/26599055p/2-bedroom-1-bath-apartment-at-4256-north-st-buffalo-ny-14219
15-19 East Utica St,"$1,300","2 Bedrooms Apartment · Masten Park, Buffalo",https://www.padmapper.com/buildings/p716410/15-19-east-utica-st-apartments-at-19-e-utica-st-buffalo-ny-14209
257 Lafayette Avenue,"$1,350","2 Bedrooms Apartment · Grant Ferry, Buffalo",https://www.padmapper.com/buildings/p1129968/apartments-at-257-lafayette-ave-buffalo-ny-14213
Angle-Tyler Apartments,"$1,175–$1,295","2 Bedrooms Apartments · University, Buffalo",https://www.padmapper.com/buildings/p1311297/angle-tyler-apartments-at-2-angle-st-buffalo-ny-14214
Barcalo Living,"$1,535–$3,070","1–3 Bedrooms Apartments · First Ward, Buffalo",https://www.padmapper.com/buildings/p868588/barcalo-living-apartments-at-225-louisiana-st-buffalo-ny-14204
Annex Apartments,"$1,814–$2,692","1–2 Bedrooms Apartments · Bryant, Buffalo",https://www.padmapper.com/buildings/p1223161/annex-apartments-at-245-bryant-st-buffalo-ny-14222
The Goodyear Mansion & Residences,"$1,350–$1,850","Studio–1 Bedroom Apartments · Bryant, Buffalo",https://www.padmapper.com/buildings/p1038104/the-goodyear-mansion-residences-apartments-at-888-delaware-ave-buffalo-ny-14209
The Glenny - 251 Main St.,"$1,560","1 Bedroom Apartment · Central Business District, Buffalo",https://www.padmapper.com/buildings/p49476/the-glenny-251-main-st-apartments-at-251-main-st-buffalo-ny-14203
133 Elmwood Avenue,"$1,250","2 Bedrooms Apartment · Allen, Buffalo",https://www.padmapper.com/buildings/p881114/apartments-at-133-elmwood-ave-buffalo-ny-14201
90 North Pearl Street,"$900–$1,025","1 Bedroom Apartments · Allen, Buffalo",https://www.padmapper.com/buildings/p750604/apartments-at-90-n-pearl-st-buffalo-ny-14202
134 North Pearl Street,"$1,100","Studio Apartments · Allen, Buffalo",https://www.padmapper.com/buildings/p1339322/apartments-at-134-n-pearl-st-buffalo-ny-14202
30 Sunrise Drive,"$1,250","2 Bedrooms Apartment · Buffalo, NY",https://www.padmapper.com/buildings/p1307403/apartments-at-30-sunrise-dr-buffalo-ny-14219
Cottage Street Lofts,"$1,495–$1,550","1 Bedroom Apartments · Lakeview, Buffalo",https://www.padmapper.com/buildings/p724140/cottage-street-lofts-apartments-at-118-cottage-st-buffalo-ny-14201
Days Park Commons,"$1,295–$1,500","2 Bedrooms Apartments · Allen, Buffalo",https://www.padmapper.com/buildings/p340965/days-park-commons-apartments-at-68-days-park-buffalo-ny-14201
3 Dewitt Street,"$1,000","2 Bedrooms Apartment · Grant Ferry, Buffalo",https://www.padmapper.com/buildings/p888265/apartments-at-3-dewitt-st-buffalo-ny-14213
Axis 360,"$1,339","1 Bedroom Apartment · LaSalle, Buffalo",https://www.padmapper.com/buildings/p462446/axis-360-apartments-at-89-lasalle-ave-buffalo-ny-14214
Elmwood Village Flat,$700,"2 Bedrooms Apartment · Forest, Buffalo",https://www.padmapper.com/buildings/p855061/elmwood-village-flat-apartments-at-baynes-st-bird-ave-buffalo-ny-14213
Colvin Gardens Apartments,"$1,095–$1,195","2 Bedrooms Apartments · North Park, Buffalo",https://www.padmapper.com/buildings/p480464/colvin-gardens-apartments-at-601-colvin-ave-buffalo-ny-14216
800 W Ferry St #2AA,"$1,700","1 Bedroom · 1 Bathroom Apartment · Delaware - West Ferry, Buffalo",https://www.padmapper.com/rentals/12918467p/1-bedroom-1-bath-apartment-at-800-w-ferry-st-buffalo-ny-14222
905 Delaware Apartments,"$1,425–$1,725","2 Bedrooms Apartments · Bryant, Buffalo",https://www.padmapper.com/buildings/p38635/905-delaware-apartments-at-905-delaware-ave-buffalo-ny-14209
"Vibrant Elmwood Village Living: 1008 Elmwood Ave. Buffalo, NY 14222","$1,525","2 Bedrooms Apartment · Forest, Buffalo",https://www.padmapper.com/buildings/p1000203/vibrant-elmwood-village-living-1008-elmwood-ave-buffalo-ny-14222-apartments-at-1008-elmwood-ave-buffalo-ny-14222
357 Hoyt St #3FL3,"$1,300","3 Bedrooms · 1 Bathroom Apartment · Forest, Buffalo",https://www.padmapper.com/rentals/23907581p/3-bedroom-1-bath-apartment-at-357-hoyt-st-buffalo-ny-14213
District West Lofts on Elmwood: Luxury Apartments in the heart of the Elmwood District,"$2,450–$2,690","2 Bedrooms Apartments · Forest, Buffalo",https://www.padmapper.com/buildings/p969146/district-west-lofts-on-elmwood-luxury-apartments-in-the-heart-of-the-elmwood-district-at-1020-elmwood-ave-buffalo-ny-14222
36 Kamper Ave,"$1,350","3 Bedrooms · 1 Bathroom Apartment · Cazenovia Park, Buffalo",https://www.padmapper.com/rentals/26602083p/3-bedroom-1-bath-apartment-at-36-kamper-ave-buffalo-ny-14210
467 Fargo Ave #1,$900,"1 Bedroom · 1 Bathroom Apartment · Front Park, Buffalo",https://www.padmapper.com/rentals/20812484p/1-bedroom-1-bath-apartment-at-467-fargo-ave-buffalo-ny-14213
64 Weyand Ave #1,"$1,300","3 Bedrooms · 1 Bathroom Apartment · Cazenovia Park, Buffalo",https://www.padmapper.com/rentals/19196093p/3-bedroom-1-bath-apartment-at-64-weyand-ave-buffalo-ny-14210
144 Cottage St #LOWER,"$1,275","2 Bedrooms · 1 Bathroom Apartment · Lakeview, Buffalo",https://www.padmapper.com/rentals/26600864p/2-bedroom-1-bath-apartment-at-144-cottage-st-buffalo-ny-14201
17 15th St.,"$1,200–$1,300","3 Bedrooms Apartments · Front Park, Buffalo",https://www.padmapper.com/buildings/p981916/apartments-at-17-15th-st-buffalo-ny-14213
77 Richmond Ave #5,"$1,095","1 Bedroom · 1 Bathroom Apartment · Bryant, Buffalo",https://www.padmapper.com/rentals/26600207p/1-bedroom-1-bath-apartment-at-77-richmond-ave-buffalo-ny-14222
733 West Delavan,"$2,585","2 Bedrooms Apartment · Albright, Buffalo",https://www.padmapper.com/buildings/p326052/apartments-at-733-w-delavan-ave-buffalo-ny-14222
50 Getzville Rd,"$1,670","2 Bedrooms · 1 Bathroom Apartment · Buffalo, NY",https://www.padmapper.com/rentals/19207280p/2-bedroom-1-bath-apartment-at-50-getzville-rd-buffalo-ny-14226
Black Rock Freight House Lofts,"$1,695","2 Bedrooms Apartment · Black Rock, Buffalo",https://www.padmapper.com/buildings/p1126696/black-rock-freight-house-lofts-apartments-at-68-tonawanda-st-buffalo-ny-14207
39 Halwill Dr,"$2,200","3 Bedrooms · 1 Bathroom Apartment · Buffalo, NY",https://www.padmapper.com/rentals/9187315p/3-bedroom-1-bath-apartment-at-39-halwill-dr-buffalo-ny-14226
20 Schuele Ave,"$1,000","3 Bedrooms Apartment · Grider, Buffalo",https://www.padmapper.com/buildings/p1031042/apartments-at-20-schuele-ave-buffalo-ny-14215
85 Sears St,$900,"2 Bedrooms · 1 Bathroom Apartment · Broadway - Fillmore, Buffalo",https://www.padmapper.com/rentals/26599320p/2-bedroom-1-bath-apartment-at-85-sears-st-buffalo-ny-14212
282 E Delavan Ave #N,"$1,200","3 Bedrooms · 1 Bathroom Apartment · Hamlin Park, Buffalo",https://www.padmapper.com/rentals/26599322p/3-bedroom-1-bath-apartment-at-282-e-delavan-ave-buffalo-ny-14208
602 West Ave,$900,"2 Bedrooms · 1 Bathroom Apartment · Front Park, Buffalo",https://www.padmapper.com/rentals/26599314p/2-bedroom-1-bath-apartment-at-602-west-ave-buffalo-ny-14213
100 York Street,"$1,250","2 Bedrooms Apartment · Front Park, Buffalo",https://www.padmapper.com/buildings/p1133582/apartments-at-100-york-st-buffalo-ny-14213
644 Columbus Pkwy #FL1,"$1,450","4 Bedrooms · 1 Bathroom Apartment · Front Park, Buffalo",https://www.padmapper.com/rentals/22263952p/4-bedroom-1-bath-apartment-at-644-columbus-pkwy-buffalo-ny-14213
Summer Elms,"$2,100","Studio Apartment · Bryant, Buffalo",https://www.padmapper.com/buildings/p328552/summer-elms-apartments-at-217-summer-st-buffalo-ny-14222
357 Hoyt St #3,"$1,300","3 Bedrooms · 1 Bathroom Apartment · Forest, Buffalo",https://www.padmapper.com/rentals/23904421p/3-bedroom-1-bath-apartment-at-357-hoyt-st-buffalo-ny-14213
232 Dewitt St #2,"$1,300","3 Bedrooms · 1 Bathroom Apartment · Forest, Buffalo",https://www.padmapper.com/rentals/26182561p/3-bedroom-1-bath-apartment-at-232-dewitt-st-buffalo-ny-14213
2103 Niagara St #1,"$1,000","2 Bedrooms · 1 Bathroom Apartment · Black Rock, Buffalo",https://www.padmapper.com/rentals/25975378p/2-bedroom-1-bath-apartment-at-2103-niagara-st-buffalo-ny-14207
Windsong Place Apartments,"$1,496–$2,486","1–3 Bedrooms Apartments · Buffalo, NY",https://www.padmapper.com/buildings/p573/windsong-place-apartments-at-25-spring-meadow-dr-buffalo-ny-14221
5 Rugby Road,$975,"Studio Apartment · North Park, Buffalo",https://www.padmapper.com/buildings/1945684/apartments-at-5-rugby-rd-buffalo-ny-14216
86 Hawley Street,"$1,250","3 Bedrooms Apartment · Forest, Buffalo",https://www.padmapper.com/buildings/p1262362/apartments-at-86-hawley-st-buffalo-ny-14213
Delaware Ave Apartments,"$1,125","1 Bedroom Apartment · Park Meadow, Buffalo",https://www.padmapper.com/buildings/p1285413/delaware-ave-apartments-at-1998-delaware-ave-buffalo-ny-14216
346 Connecticut Street,"$1,195","1 Bedroom Apartment · Front Park, Buffalo",https://www.padmapper.com/buildings/p1133581/apartments-at-346-connecticut-st-buffalo-ny-14213
DelNord,"$1,485–$1,650","1 Bedroom Apartments · Delaware - West Ferry, Buffalo",https://www.padmapper.com/buildings/p321609/delnord-apartments-at-1149-delaware-ave-buffalo-ny-14209
Kensington Apartments,"$1,175","2 Bedrooms Apartments · Kensington, Buffalo",https://www.padmapper.com/buildings/p399736/kensington-apartments-at-1617-kensington-ave-buffalo-ny-14215
166 Crowley Avenue,"$1,000","2 Bedrooms Apartment · Riverside Park, Buffalo",https://www.padmapper.com/buildings/p888264/apartments-at-166-crowley-ave-buffalo-ny-14207
The Elmwood Village Apartments,"$1,750","1 Bedroom Apartment · Delaware - West Ferry, Buffalo",https://www.padmapper.com/buildings/p328765/the-elmwood-village-apartments-at-715-elmwood-ave-buffalo-ny-14222
248 Dodge Street,"$1,250","1 Bedroom Apartment · Masten Park, Buffalo",https://www.padmapper.com/buildings/p784533/apartments-at-248-dodge-st-buffalo-ny-14208
135 Park St Street,"$1,895","3 Bedrooms · 1 Bathroom Apartment · Lakeview, Buffalo",https://www.padmapper.com/rentals/62570339/3-bedroom-1-bath-apartment-at-135-park-st-street-buffalo-ny-14201
1589 Center Rd,"$2,500","3 Bedrooms · 2 Bathrooms Apartment · Buffalo, NY",https://www.padmapper.com/rentals/26592972p/3-bedroom-2-bath-apartment-at-1589-center-rd-buffalo-ny-14224
107 Herkimer St,"$950–$1,300","2–3 Bedrooms Apartments · Grant Ferry, Buffalo",https://www.padmapper.com/buildings/p605903/apartments-at-107-herkimer-st-buffalo-ny-14213
Crescent Avenue Apartments,"$1,450","2 Bedrooms Apartment · Parkside, Buffalo",https://www.padmapper.com/buildings/p1127909/crescent-avenue-apartments-at-196-crescent-ave-buffalo-ny-14214
137 Lockwood Ave #LOWER,"$1,050","2 Bedrooms · 1 Bathroom Apartment · South Park, Buffalo",https://www.padmapper.com/rentals/26591878p/2-bedroom-1-bath-apartment-at-137-lockwood-ave-buffalo-ny-14220
238 Schiller St,"$1,495","2 Bedrooms · 1 Bathroom Apartment · Lovejoy, Buffalo",https://www.padmapper.com/rentals/26591821p/2-bedroom-1-bath-apartment-at-238-schiller-st-buffalo-ny-14206
35 Tomcyn Dr,"$2,350","4 Bedrooms · 1 Bathroom Apartment · Buffalo, NY",https://www.padmapper.com/rentals/25819883p/4-bedroom-1-bath-apartment-at-35-tomcyn-dr-buffalo-ny-14221
585 Niagara Street,"$1,000","1 Bedroom Apartment · Front Park, Buffalo",https://www.padmapper.com/buildings/p276979/apartments-at-585-niagara-st-buffalo-ny-14201
148 Northland Ave #1,"$1,300","3 Bedrooms · 1 Bathroom Apartment · Cold Springs, Buffalo",https://www.padmapper.com/rentals/26588274p/3-bedroom-1-bath-apartment-at-148-northland-ave-buffalo-ny-14208
148 Northland Ave #2,"$1,300","3 Bedrooms · 1 Bathroom Apartment · Cold Springs, Buffalo",https://www.padmapper.com/rentals/26588275p/3-bedroom-1-bath-apartment-at-148-northland-ave-buffalo-ny-14208
32 Elmwood Ave #2,"$1,500","3 Bedrooms · 1 Bathroom Apartment · Allen, Buffalo",https://www.padmapper.com/rentals/11352872p/3-bedroom-1-bath-apartment-at-32-elmwood-ave-buffalo-ny-14201
1080 Elmwood Ave #3,"$1,400","2 Bedrooms · 1 Bathroom Apartment · Forest, Buffalo",https://www.padmapper.com/rentals/23358256p/2-bedroom-1-bath-apartment-at-1080-elmwood-ave-buffalo-ny-14222
